Freq,Permittivity,Conductivity,Permittivity Uncertainty,Conductivity Uncertainty
1000000000,9.797033333,0.409266773,0.272889251,0.014642183
1005000000,9.850066667,0.410638771,0.257621512,0.014985016
1010000000,9.7737,0.411185964,0.263733293,0.014423613
1015000000,9.793466667,0.411675075,0.280747508,0.01390564
1020000000,9.765066667,0.412663196,0.244618526,0.013550532
1025000000,9.7665,0.412113622,0.269395843,0.01420525
1030000000,9.7041,0.412714984,0.237761561,0.013967806
1035000000,9.677733333,0.413296912,0.329643934,0.014138702
1040000000,9.646933333,0.41373595,0.246268844,0.013558222
1045000000,9.5775,0.412962978,0.381740108,0.014042169
1050000000,9.615366667,0.415520796,0.26330107,0.012593835
1055000000,9.6511,0.41860627,0.246094921,0.0139946
1060000000,9.575466667,0.418043869,0.278494961,0.015580189
1065000000,9.5801,0.418945856,0.244944341,0.014434152
1070000000,9.5817,0.419954811,0.240957237,0.013943757
1075000000,9.571233333,0.422899546,0.239714546,0.01632616
1080000000,9.5556,0.420586627,0.235845097,0.014635004
1085000000,9.520966667,0.421562431,0.239485706,0.014099613
1090000000,9.492566667,0.421706998,0.236323176,0.01456934
1095000000,9.4607,0.420442746,0.245054667,0.017343114
1100000000,9.455233333,0.423080266,0.24387477,0.015930013
1105000000,9.435066667,0.422387858,0.234666451,0.015465223
1110000000,9.4227,0.424622131,0.239478955,0.015706405
1115000000,9.407166667,0.425766033,0.232332205,0.014408129
1120000000,9.407866667,0.42721651,0.239873599,0.013878603
1125000000,9.4077,0.43037278,0.235013255,0.013406034
1130000000,9.3948,0.428404443,0.224159497,0.014417751
1135000000,9.384833333,0.428789534,0.232272627,0.013153523
1140000000,9.357233333,0.429448689,0.229238878,0.014683747
1145000000,9.329933333,0.428392849,0.230235235,0.013318266
1150000000,9.2949,0.430653637,0.226828724,0.01441819
1155000000,9.310666667,0.43200368,0.203898758,0.012620545
1160000000,9.270333333,0.431844128,0.220825776,0.013845449
1165000000,9.2714,0.434325264,0.229470456,0.013206619
1170000000,9.265133333,0.433868877,0.221809205,0.015152605
1175000000,9.269733333,0.43581449,0.215766548,0.014069642
1180000000,9.234633333,0.435875536,0.204675385,0.014671728
1185000000,9.2302,0.434346534,0.217109742,0.01485051
1190000000,9.219733333,0.436424053,0.221074588,0.014634919
1195000000,9.203166667,0.436629759,0.217650002,0.014507018
1200000000,9.186933333,0.437191066,0.22720168,0.014189624
1205000000,9.104533333,0.43253104,0.22534907,0.015088013
1210000000,9.1102,0.438409878,0.210195932,0.015210099
1215000000,9.133366667,0.44099169,0.281588891,0.017044642
1220000000,9.109833333,0.440875307,0.225418285,0.015442992
1225000000,9.1139,0.441045081,0.222094057,0.014723742
1230000000,9.113466667,0.441009985,0.223649331,0.014981257
1235000000,9.083366667,0.441635257,0.236204029,0.014480498
1240000000,9.088266667,0.443179625,0.212216619,0.015474609
1245000000,9.091466667,0.443104362,0.221563565,0.014675255
1250000000,9.067433333,0.444698544,0.211211134,0.015378984
1255000000,9.009733333,0.444197672,0.195348978,0.014860321
1260000000,9.022566667,0.445126619,0.193877599,0.014782435
1265000000,8.9563,0.446531906,0.235155629,0.015414797
1270000000,8.9766,0.447192832,0.220436998,0.016350113
1275000000,8.9789,0.449274837,0.227005749,0.01630566
1280000000,8.983433333,0.448462505,0.214014587,0.015183093
1285000000,8.9428,0.448985305,0.189703057,0.015715038
1290000000,8.970866667,0.448704707,0.208551249,0.015085885
